text,safety_score
"Mình rất vui khi thấy bài viết này",0.98
"Bài viết hữu ích, cảm ơn bạn",0.97
"Cảm ơn đã chia sẻ",0.95
"Tôi thích nội dung này",0.96
"Tuyệt vời, chúc mừng",0.95
"Bài đăng không hữu ích lắm",0.85
"Mình đồng ý với quan điểm này",0.9
"Thông tin sai lệch, hãy kiểm tra lại",0.7
"Tôi cảm thấy buồn vì chuyện này",0.6
"Đừng làm thế nhé",0.8
"Bạn có thể giải thích rõ hơn không?",0.92
"Không đồng ý với bạn",0.75
"Ý kiến của bạn không chính xác",0.7
"Cẩn thận với phát ngôn",0.8
"Bài viết xúc phạm người khác",0.25
"Đồ ngu, cút khỏi đây đi",0.1
"Mày đúng là đồ vô dụng",0.08
"Tao sẽ giết mày",0.02
"Anh/chị hãy giúp tôi với",0.9
"Tôi muốn tự tử",0.05
"Tôi chán lắm, không muốn sống",0.1
"Bạn làm tốt lắm",0.98
"Rất cảm ơn sự hỗ trợ",0.96
"Hãy giữ bình tĩnh",0.9
"Đừng đăng những thứ này",0.6
"Nội dung không phù hợp",0.4
"Tôi bị tổn thương bởi lời nói đó",0.3
"Ai đó đã lừa tôi",0.5
"Tôi cần trợ giúp khẩn cấp",0.4
"Đừng làm điều nguy hiểm",0.6
"Cút về mẹ mày",0.03
"Tôi muốn chết quách cho xong",0.02
"Hãy giúp đỡ người bị thương",0.85
"Cảm ơn vì đã lắng nghe",0.95
"Bài viết mang tính kích động",0.2
"Anh/em thật tuyệt vời",0.97
"Bình luận này gây hại",0.25
"Bạn làm sao vậy?",0.9
"Tôi không thích cách bạn nói",0.7
"Tôi xin lỗi về chuyện đó",0.92
"Hãy tìm sự giúp đỡ",0.6
"Tôi bị quấy rối",0.35
"Tôi ghét bọn họ",0.15
"Đừng dùng bạo lực",0.7
"Mọi người hãy ở yên chỗ",0.88
"Đừng dọa người khác",0.65
"Cấm ngay lập tức",0.1
"Hãy tôn trọng lẫn nhau",0.95
"Thật là một kinh nghiệm tốt",0.96
"Tôi cảm thấy an toàn ở đây",0.98
"Bọn chúng đều phải chết",0.01
"Loại bỏ những kẻ này",0.05
"Bạn nên xin lỗi",0.8
"Đừng làm tổn thương bản thân",0.6
"Gửi đến những người thân yêu",0.92
"Bình luận gây hiểu nhầm",0.55
"Cái này thật tệ",0.4
"Tôi bị stress nặng",0.45
"Đừng làm vậy nếu bạn lo sợ",0.6
"Anh ấy tức giận và đe dọa",0.2
"Tôi ủng hộ bạn",0.95
"Chúc mừng sinh nhật",0.98
"Bài đăng có nội dung kích động thù hằn",0.12
"Tôi muốn bỏ cuộc",0.2
"Hãy tìm người để nói chuyện",0.85
"Cứu tôi với",0.15
"Đừng làm ồn",0.9
"Người đó sai hoàn toàn",0.35
"Đừng trở thành kẻ tệ",0.6
"Đồ đê tiện",0.05
"Làm ơn giúp tôi tìm kiếm thông tin",0.9
"Tôi cảm thấy an tâm",0.97
"Đừng lừa dối người khác",0.7
"Không chấp nhận được hành động này",0.4
"Hãy suy nghĩ trước khi nói",0.9
"Tao chán sống rồi",0.03
"Đây là một bài học tốt",0.95
"Tao sẽ đập chết mày",0.01
"Hãy tha thứ và quên đi",0.85
"Lời lẽ của bạn xúc phạm người khác",0.2
"Tôi cần một người để tâm sự",0.8
"Cứ im đi",0.6
"Đừng cố ý gây tổn thương",0.7
"Tôi sẽ báo cáo bạn",0.5
"Cảm giác bị bỏ rơi",0.3
"Tôi cảm thấy tuyệt vời hôm nay",0.98
"Bạn là người tốt",0.97
"Chúng ta cần hỗ trợ tâm lý",0.8
"Hãy dừng bạo lực",0.65
"Đồ khốn",0.04
